code,pragma,line
"for ( auto standardized_iteration_variable_name : this -> tagIds ) { for ( auto j : other -> tagIds ) { sum += getTagDistance ( standardized_iteration_variable_name , j ) ; } } ",0,64
"for ( auto standardized_iteration_variable_name : other -> tagIds ) { sum += getTagDistance ( i , standardized_iteration_variable_name ) ; } ",0,66
"for ( auto standardized_iteration_variable_name : this -> tagIds ) { ss << tagDic [ standardized_iteration_variable_name ] << "" "" ; } ",0,92
for ( int standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < Nodes . size ( ) - 1 ; standardized_iteration_variable_name ++ ) { for ( int n = standardized_iteration_variable_name + 1 ; n < Nodes . size ( ) ; n ++ ) { float distance = Nodes [ standardized_iteration_variable_name ] -> distance ( Nodes [ n ] ) ; if ( distance > max_distance_private ) { max_distance_private = distance ; mi_private = standardized_iteration_variable_name ; mj_private = n ; } } } ,0,226
for ( int standardized_iteration_variable_name = m + 1 ; standardized_iteration_variable_name < Nodes . size ( ) ; standardized_iteration_variable_name ++ ) { float distance = Nodes [ m ] -> distance ( Nodes [ standardized_iteration_variable_name ] ) ; if ( distance > max_distance_private ) { max_distance_private = distance ; mi_private = m ; mj_private = standardized_iteration_variable_name ; } } ,0,228
for ( int standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < Nodes . size ( ) - 1 ; standardized_iteration_variable_name ++ ) { for ( int n = standardized_iteration_variable_name + 1 ; n < Nodes . size ( ) ; n ++ ) { float distance = Nodes [ standardized_iteration_variable_name ] -> distance ( Nodes [ n ] ) ; if ( distance > max_distance_private ) { max_distance_private = distance ; mi_private = standardized_iteration_variable_name ; mj_private = n ; } } } ,0,284
for ( int standardized_iteration_variable_name = m + 1 ; standardized_iteration_variable_name < Nodes . size ( ) ; standardized_iteration_variable_name ++ ) { float distance = Nodes [ m ] -> distance ( Nodes [ standardized_iteration_variable_name ] ) ; if ( distance > max_distance_private ) { max_distance_private = distance ; mi_private = m ; mj_private = standardized_iteration_variable_name ; } } ,0,286
for ( int standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < Nodes . size ( ) ; standardized_iteration_variable_name ++ ) { if ( Nodes [ standardized_iteration_variable_name ] -> children_dist > threshold ) { finalClusters . push_back ( Nodes [ standardized_iteration_variable_name ] ) ; cout << Nodes [ standardized_iteration_variable_name ] -> toString ( ) << endl ; } } ,0,327
"for ( standardized_iteration_variable_name = 1 ; standardized_iteration_variable_name <= depth ; standardized_iteration_variable_name ++ ) { vector < list < int > > levelCluster ; vector < float > levelDist ; levelOrder ( root , standardized_iteration_variable_name , levelCluster , levelDist ) ; levelClusters . push_back ( levelCluster ) ; bool cut = true ; cout << ""level "" << standardized_iteration_variable_name << "" and level size:"" << levelCluster . size ( ) << endl ; cout << ""level cluster distance:"" << endl ; for ( auto ld : levelDist ) { cout << ld << ""\t"" ; } cout << endl ; for ( auto j : levelDist ) { if ( j < threshold ) { cut = false ; break ; } } if ( cut ) { break ; } } ",0,362
"for ( auto standardized_iteration_variable_name : levelDist ) { cout << standardized_iteration_variable_name << ""\t"" ; } ",0,373
for ( auto standardized_iteration_variable_name : levelDist ) { if ( standardized_iteration_variable_name < threshold ) { cut = false ; break ; } } ,0,378
"for ( auto standardized_iteration_variable_name : levelClusters [ i ] ) { for ( auto tagId : standardized_iteration_variable_name ) { cout << TagNode :: tagDic [ tagId ] << ""\t"" ; } cout << endl ; } ",0,392
"for ( auto standardized_iteration_variable_name : levelCluster ) { cout << TagNode :: tagDic [ standardized_iteration_variable_name ] << ""\t"" ; } ",0,394
"for ( auto standardized_iteration_variable_name : node -> tagIds ) { if ( standardized_iteration_variable_name != queryId ) ss << TagNode :: tagDic [ standardized_iteration_variable_name ] << "" "" ; } ",0,405
"for ( auto standardized_iteration_variable_name : clusters ) { if ( find ( standardized_iteration_variable_name -> tagIds . begin ( ) , standardized_iteration_variable_name -> tagIds . end ( ) , queryId ) != standardized_iteration_variable_name -> tagIds . end ( ) ) { target = standardized_iteration_variable_name ; } } ",0,416
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,68
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,70
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,72
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,74
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,76
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,78
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,80
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,82
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,84
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,86
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,88
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,90
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,92
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,94
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,96
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,98
for ( standardized_iteration_variable_name = 0 ; standardized_iteration_variable_name < argc ; ++ standardized_iteration_variable_name ) foo ( ) ; ,0,100
