code,pragma
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( int i = 0 ; i < 10 ; ++ i ) foo ( ) ; ,0
for ( char i = 0 ; i < 10 ; i += '\1' ) { c [ i ] = a [ i ] + b [ i ] ; } ,1
for ( float fi = 0 ; fi < 10.0 ; fi ++ ) { c [ ( int ) fi ] = a [ ( int ) fi ] + b [ ( int ) fi ] ; } ,1
for ( int i ; i < 10 ; i ++ ) c [ i ] = a [ i ] ; ,1
"for ( int i = 0 , j = 0 ; i < 10 ; ++ i ) c [ i ] = a [ i ] ; ",1
for ( int i = 0 ; ; i ++ ) c [ i ] = a [ i ] ; ,1
for ( int i = 0 ; i < 10 ; ++ i ) c [ i ] = a [ i ] ; ,1
for ( ii = 0 ; ii < 10 ; ++ ii ) c [ ii ] = a [ ii ] ; ,1
for ( ii = 0 ; ii < 10 ; ++ jj ) c [ ii ] = a [ jj ] ; ,1
for ( ii = 0 ; ii < 10 ; ii = ii + ii ) c [ ii ] = a [ ii ] ; ,1
for ( ii = 0 ; ii < 10 ; ii = ii + 1.0f ) c [ ii ] = a [ ii ] ; ,1
for ( ii = 0 ; ii < 10 ; ii = ii < 10 ) c [ ii ] = a [ ii ] ; ,1
for ( ii = 0 ; ii < 10 ; ii = ii + 0 ) c [ ii ] = a [ ii ] ; ,1
for ( ii = 0 ; ( ii ) < 10 ; ii -= 25 ) c [ ii ] = a [ ii ] ; ,1
for ( ii = 0 ; ii < 10 ; ( ii ) = ( 1 - 1 ) + ( ii ) ) c [ ii ] = a [ ii ] ; ,1
for ( ( ii = 0 ) ; ii > 10 ; ( ii -= 0 ) ) c [ ii ] = a [ ii ] ; ,1
for ( ii = 0 ; ii < 10 ; ii ++ ) c [ ii ] = a [ ii ] ; ,0
for ( ii = 0 ; ii < 10 ; ii ++ ) c [ ii ] = a [ ii ] ; ,0
for ( globalii = 0 ; globalii < 10 ; globalii += 1 ) c [ globalii ] += a [ globalii ] + ii ; ,0
for ( unsigned i = 9 ; i < 10 ; i -- ) { c [ i ] = a [ i ] + b [ i ] ; } ,1
for ( GoodIter I ( begin ) ; I < end ; ++ I ) ++ I ; ,1
for ( GoodIter I ( nullptr ) ; I < end ; ++ I ) ++ I ; ,1
for ( GoodIter I = begin ; I - I ; ++ I ) ++ I ; ,1
for ( GoodIter I = begin ; I >= end ; I = - I ) ++ I ; ,1
for ( Iter0 I = begin0 ; I < end0 ; ++ I ) ++ I ; ,1
